id,name,parent,fullname,isinactive,subsidiary,lastmodifieddate
1,Alloys,,Alloys,F,"2, 5, 32, 65, 82",3/18/2026
89,Amalgam,1,Alloys : Amalgam,F,"2, 5, 32, 65, 82",3/18/2026
2,Anesthetics,,Anesthetics,F,"2, 5, 32, 65, 82",3/18/2026
27,Injectables,2,Anesthetics : Injectables,F,"2, 5, 32, 65, 82",3/18/2026
28,Needles,2,Anesthetics : Needles,F,"2, 5, 32, 65, 82",3/18/2026
111,Sutures,2,Anesthetics : Sutures,F,"2, 5, 32, 65, 82",3/18/2026
29,Topical,2,Anesthetics : Topical,F,"2, 5, 32, 65, 82",3/18/2026
24,Brokerage,,Brokerage,F,"2, 5, 32, 65, 82",3/18/2026
3,Burs,,Burs,F,"2, 5, 32, 65, 82",3/18/2026
94,Accessories,3,Burs : Accessories,F,"2, 5, 32, 65, 82",3/18/2026
90,Carbide,3,Burs : Carbide,F,"2, 5, 32, 65, 82",3/18/2026
93,Diamonds,3,Burs : Diamonds,F,"2, 5, 32, 65, 82",3/18/2026
91,Finishing,3,Burs : Finishing,F,"2, 5, 32, 65, 82",3/18/2026
92,Latch,3,Burs : Latch,F,"2, 5, 32, 65, 82",3/18/2026
169,CPU & Laptops,,CPU & Laptops,F,"1, 48, 65, 82",3/18/2026
181,Cables & Adapters,,Cables & Adapters,F,"1, 48, 65, 82",3/18/2026
5,Cements & Liners,,Cements & Liners,F,"2, 5, 32, 65, 82",3/18/2026
131,Cavity & Liners,5,Cements & Liners : Cavity & Liners,F,"2, 5, 32, 65, 82",3/18/2026
44,Cements,5,Cements & Liners : Cements,F,"2, 5, 32, 65, 82",3/18/2026
43,Temporary Filling Materials,5,Cements & Liners : Temporary Filling Materials,F,"2, 5, 32, 65, 82",3/18/2026
4,Crowns & Bridges,,Crowns & Bridges,F,"2, 5, 32, 65, 82",3/18/2026
59,Crown,4,Crowns & Bridges : Crown,F,"2, 5, 32, 65, 82",3/18/2026
60,Retraction Materials,4,Crowns & Bridges : Retraction Materials,F,"2, 5, 32, 65, 82",3/18/2026
61,TemporaryCrowns&BridgesAcrylics,4,Crowns & Bridges : TemporaryCrowns&BridgesAcrylics,F,"2, 5, 32, 65, 82",3/18/2026
21,Discount,,Discount,F,"2, 5, 32, 65, 82",3/18/2026
23,Duty,,Duty,F,"2, 5, 32, 65, 82",3/18/2026
161,E-Commerce,,E-Commerce,F,"2, 5, 32, 65, 82",3/18/2026
163,Gift & Souvenir,161,E-Commerce : Gift & Souvenir,F,"2, 5, 32, 65, 82",3/18/2026
164,Household,161,E-Commerce : Household,F,"2, 5, 32, 65, 82",3/18/2026
162,Phone Accessories,161,E-Commerce : Phone Accessories,F,"2, 5, 32, 65, 82",3/18/2026
6,Endodontics,,Endodontics,F,"2, 5, 32, 65, 82",3/18/2026
160,Absorbent Points,6,Endodontics : Absorbent Points,F,"2, 5, 32, 65, 82",3/18/2026
45,Barbed Broaches,6,Endodontics : Barbed Broaches,F,"2, 5, 32, 65, 82",3/18/2026
159,Drills & Reamers,6,Endodontics : Drills & Reamers,F,"2, 5, 32, 65, 82",3/18/2026
47,Endo Accessories,6,Endodontics : Endo Accessories,F,"2, 5, 32, 65, 82",3/18/2026
46,Endo File,6,Endodontics : Endo File,F,"2, 5, 32, 65, 82",3/18/2026
50,Rotary Endo,6,Endodontics : Rotary Endo,F,"2, 5, 32, 65, 82",3/18/2026
49,Rubber Dam Accessories,6,Endodontics : Rubber Dam Accessories,F,"2, 5, 32, 65, 82",3/18/2026
48,Sealers,6,Endodontics : Sealers,F,"2, 5, 32, 65, 82",3/18/2026
7,Equipment,,Equipment,F,"2, 5, 32, 65, 82",3/18/2026
98,Autoclave,7,Equipment : Autoclave,F,"2, 5, 32, 65, 82",3/18/2026
101,Chairs & Stools,7,Equipment : Chairs & Stools,F,"2, 5, 32, 65, 82",3/18/2026
104,Endo,7,Equipment : Endo,F,"2, 5, 32, 65, 82",3/18/2026
112,Equipment Accessories,7,Equipment : Equipment Accessories,F,"2, 5, 32, 65, 82",3/18/2026
142,Equipment Parts,7,Equipment : Equipment Parts,F,"2, 5, 32, 65, 82",3/18/2026
125,Equipment Repair,7,Equipment : Equipment Repair,F,"2, 5, 32, 65, 82",3/18/2026
99,Handpiece,7,Equipment : Handpiece,F,"2, 5, 32, 65, 82",3/18/2026
158,Parts,7,Equipment : Parts,F,"2, 5, 32, 65, 82",3/18/2026
147,Sensors,7,Equipment : Sensors,F,"2, 5, 32, 65, 82",3/18/2026
102,Small Equipment,7,Equipment : Small Equipment,F,"2, 5, 32, 65, 82",3/18/2026
103,Utility Rooms,7,Equipment : Utility Rooms,F,"2, 5, 32, 65, 82",3/18/2026
100,X-Ray Equipment,7,Equipment : X-Ray Equipment,F,"2, 5, 32, 65, 82",3/18/2026
10,Gift,,Gift,F,"2, 5, 32, 65, 82",3/18/2026
110,Gift Card,10,Gift : Gift Card,F,"2, 5, 32, 65, 82",3/18/2026
113,Giveaway,10,Gift : Giveaway,F,"2, 5, 32, 65, 82",3/18/2026
170,Hard Drive,,Hard Drive,F,"1, 48, 65, 82",3/18/2026
171,Head Set and Microphones,,Head Set and Microphones,F,"1, 48, 65, 82",3/18/2026
168,I.T. Support Fee,,I.T. Support Fee,F,"1, 48, 65, 82",3/18/2026
155,IV Products,,IV Products,F,"2, 5, 32, 65, 82",3/18/2026
156,IV Catheter,155,IV Products : IV Catheter,F,"2, 5, 32, 65, 82",3/18/2026
12,Impression Materials,,Impression Materials,F,"2, 5, 32, 65, 82",3/18/2026
58,Accessories,12,Impression Materials : Accessories,F,"2, 5, 32, 65, 82",3/18/2026
51,Alginates,12,Impression Materials : Alginates,F,"2, 5, 32, 65, 82",3/18/2026
52,Bite Registration,12,Impression Materials : Bite Registration,F,"2, 5, 32, 65, 82",3/18/2026
54,Mixing Tips,12,Impression Materials : Mixing Tips,F,"2, 5, 32, 65, 82",3/18/2026
145,Polyether,12,Impression Materials : Polyether,F,"2, 5, 32, 65, 82",3/18/2026
53,Post & Pins,12,Impression Materials : Post & Pins,F,"2, 5, 32, 65, 82",3/18/2026
116,Rubber Base,12,Impression Materials : Rubber Base,F,"2, 5, 32, 65, 82",3/18/2026
148,Soft Liners,12,Impression Materials : Soft Liners,F,"2, 5, 32, 65, 82",3/18/2026
157,Syringes,12,Impression Materials : Syringes,F,"2, 5, 32, 65, 82",3/18/2026
56,Tray Adhesive,12,Impression Materials : Tray Adhesive,F,"2, 5, 32, 65, 82",3/18/2026
55,Trays,12,Impression Materials : Trays,F,"2, 5, 32, 65, 82",3/18/2026
57,VPS,12,Impression Materials : VPS,F,"2, 5, 32, 65, 82",3/18/2026
8,Inbound Freight,,Inbound Freight,F,"2, 5, 32, 65, 82",3/18/2026
11,Infection Control,,Infection Control,F,"2, 5, 32, 41, 65, 82",3/18/2026
64,Barriers & Covers,11,Infection Control : Barriers & Covers,F,"2, 5, 32, 65, 82",3/18/2026
66,Dental Disposable,11,Infection Control : Dental Disposable,F,"2, 5, 32, 65, 82",3/18/2026
115,Evacuation Cleaners,11,Infection Control : Evacuation Cleaners,F,"2, 5, 32, 65, 82",3/18/2026
62,Gloves,11,Infection Control : Gloves,F,"2, 5, 32, 65, 82",3/18/2026
65,Hand Soaps,11,Infection Control : Hand Soaps,F,"2, 5, 32, 65, 82",3/18/2026
63,Mask,11,Infection Control : Mask,F,"2, 5, 32, 41, 65, 82",3/18/2026
149,Sterilants,11,Infection Control : Sterilants,F,"2, 5, 32, 65, 82",3/18/2026
67,Sterilization Products,11,Infection Control : Sterilization Products,F,"2, 5, 32, 65, 82",3/18/2026
36,Surface Disinfectant,11,Infection Control : Surface Disinfectant,F,"2, 5, 32, 65, 82",3/18/2026
